Document,Recall,Precision,JS_similairty
06_1.xml,0.454545455,1,0.490636187
06_100.xml,1,0.4,0.599126307
06_1001.xml,0.555555556,0.428571429,0.505489355
06_1004.xml,0.052631579,0.75,0.66444112
06_1005.xml,0.2,1,0.536728519
06_1006.xml,0,0,0.693147181
06_1015.xml,1,0.8,0.558546346
06_1017.xml,0.285714286,0.2,0.557995023
06_1018.xml,0.5,0.333333333,0.436675635
06_102.xml,0.5,0.8,0.426013274
06_1021.xml,0.125,0.166666667,0.403500051
06_1022.xml,0.6,0.5,0.409537155
06_1023.xml,0.666666667,0.5,0.517953469
06_1026.xml,0,0,0.693147181
06_1027.xml,0.25,0.5,0.618328091
06_1028.xml,0.5,0.6,0.475844675
06_1029.xml,0.333333333,0.6,0.512047083
06_1032.xml,0.25,0.2,0.63715043
06_1033.xml,0.8,0.444444444,0.524580053
06_1041.xml,0,0,0.510509465
06_1042.xml,0.714285714,0.25,0.408808625
06_1043.xml,0.727272727,1,0.506602169
06_1044.xml,0.75,0.4,0.428433589
06_1045.xml,0.75,0.333333333,0.483089613
06_1046.xml,0.625,0.6,0.525321613
06_1048.xml,0.36,0.75,0.434075725
06_1049.xml,0.8,0.5,0.609746777
06_105.xml,1,0.8,0.447148425
06_1050.xml,0.7,1,0.381128609
06_1051.xml,0.5,0.6,0.502065207
06_1054.xml,0.444444444,0.75,0.487066493
06_1056.xml,0,0,0.693147181
06_106.xml,0.4,1,0.554787798
06_1066.xml,0.142857143,0.166666667,0.540926819
06_1069.xml,0.5,0.333333333,0.491665003
06_107.xml,0.428571429,0.6,0.575034619
06_1070.xml,0,0,0.630466598
06_1071.xml,0.666666667,0.666666667,0.577442318
06_1072.xml,0.625,0.666666667,0.486993635
06_1073.xml,0.166666667,0.25,0.594156911
06_1074.xml,0.333333333,0.2,0.379012965
06_1075.xml,0.6,0.6,0.375366491
06_1077.xml,0.375,0.2,0.309439278
06_1078.xml,0.555555556,0.666666667,0.513793902
06_1079.xml,0.5,0.666666667,0.427305242
06_1080.xml,0.5,0.333333333,0.570148798
06_1082.xml,0,0,0.581022578
06_1083.xml,0.333333333,0.142857143,0.636374101
06_1084.xml,0.333333333,0.285714286,0.501558761
06_1085.xml,0,0,0.520938491
06_1086.xml,0.4,0.6,0.471101484
06_1088.xml,0.8,0.333333333,0.612819518
06_1089.xml,0.333333333,0.4,0.47328814
06_109.xml,0.363636364,0.25,0.468959836
06_1095.xml,0,0,0.541007326
06_1096.xml,0.217391304,0.6,0.42195112
06_1097.xml,0.25,0.166666667,0.555946455
06_1098.xml,0.666666667,0.8,0.580426529
06_11.xml,0.444444444,0.75,0.424142742
06_110.xml,0.5,0.4,0.55881763
06_1101.xml,0.416666667,0.4,0.445777176
06_1102.xml,0.454545455,0.428571429,0.417431863
06_1104.xml,0.166666667,0.2,0.516311054
06_1106.xml,0.1,0.2,0.538893466
06_1110.xml,0.142857143,0.5,0.477069665
06_1112.xml,0.48,1,0.419851997
06_1113.xml,0.333333333,0.5,0.610848393
06_1114.xml,0,0,0.693147181
06_1115.xml,0.785714286,0.75,0.386180498
06_1116.xml,0.25,0.25,0.585005216
06_1117.xml,0.75,0.25,0.4976357
06_1119.xml,0.571428571,1,0.557337254
06_112.xml,0.666666667,0.6,0.556426867
06_1120.xml,0.428571429,0.5,0.419723264
06_1121.xml,1,0.6,0.585408184
06_1122.xml,0.5,0.6,0.479576864
06_1124.xml,0.75,0.6,0.43555601
06_1126.xml,0.25,0.2,0.569617661
06_1129.xml,0.272727273,0.6,0.592234761
06_1130.xml,0.3,0.4,0.546533052
06_1134.xml,0.5,0.5,0.5798757
06_114.xml,0.4,0.5,0.589188026
06_1140.xml,0.5,0.25,0.503430589
06_1141.xml,0.333333333,0.4,0.565890797
06_1142.xml,1,0.75,0.428935318
06_1147.xml,0.647058824,1,0.414536012
06_1156.xml,0.4,0.5,0.474628582
06_1158.xml,1,0.333333333,0.486273189
06_1163.xml,0,0,0.659215582
06_1164.xml,0.5,0.4,0.520072813
06_1166.xml,0.4,0.25,0.568531549
06_1168.xml,0.625,0.6,0.38258644
06_1169.xml,0.714285714,1,0.372000687
06_1170.xml,0.666666667,0.75,0.506662628
06_1171.xml,0.6,0.333333333,0.50101455
06_1172.xml,0.5,0.6,0.446383121
06_1173.xml,0.230769231,0.333333333,0.377408128
06_1174.xml,0.5,0.333333333,0.504307356
06_1175.xml,0.25,0.166666667,0.445806179
06_1176.xml,0.583333333,0.5,0.313060634
06_1177.xml,0.2,0.142857143,0.639061389
06_118.xml,0.25,0.166666667,0.56170654
06_1180.xml,0.333333333,0.333333333,0.516339887
06_1181.xml,0.428571429,0.666666667,0.443606186
06_1183.xml,0.5,0.5,0.569684733
06_1184.xml,1,0.75,0.421289873
06_1186.xml,0.5,0.5,0.547559672
06_1187.xml,0.166666667,0.285714286,0.446833934
06_1190.xml,0.6,1,0.38607232
06_1193.xml,0.642857143,0.75,0.465721956
06_1197.xml,0.285714286,1,0.601738804
06_1198.xml,0.416666667,0.666666667,0.441430889
06_1199.xml,0.75,0.666666667,0.559906434
06_12.xml,0.153846154,0.142857143,0.579148674
06_1200.xml,0.6,1,0.496025749
06_1201.xml,0.333333333,0.25,0.647413605
06_1202.xml,0.5,0.2,0.556029583
06_1203.xml,0.5,0.4,0.476756765
06_1209.xml,0.666666667,0.5,0.449514415
06_121.xml,0.25,0.2,0.615268182
06_1215.xml,0.222222222,1,0.669547402
06_1216.xml,0.105263158,0.4,0.550599194
06_1219.xml,0.2,0.333333333,0.598587094
06_122.xml,0.8,0.4,0.427368275
06_1220.xml,0.4,0.333333333,0.340943322
06_1222.xml,0.333333333,0.25,0.532709255
06_1223.xml,0.333333333,0.333333333,0.520592406
06_1226.xml,1,0.6,0.45140999
06_1227.xml,0.538461538,0.6,0.538789466
06_1228.xml,0.444444444,0.5,0.387814589
06_1229.xml,0.434782609,0.571428571,0.472160819
06_1230.xml,0.8,0.6,0.497898
06_1234.xml,0.444444444,0.5,0.519250401
06_1235.xml,0.3,0.285714286,0.535411749
06_1236.xml,0.5,0.25,0.445220856
06_1237.xml,1,1,0.328700924
06_1239.xml,0.4,0.5,0.569989355
06_124.xml,0,0,0.465800156
06_1241.xml,0.4,0.5,0.656650464
06_1242.xml,0.296296296,0.6,0.519732441
06_1243.xml,0.5,0.4,0.421878256
06_1244.xml,0.5,0.5,0.497750546
06_1246.xml,0.8,0.666666667,0.409500905
06_1247.xml,0.222222222,0.666666667,0.505862922
06_1249.xml,0.454545455,0.5,0.477710542
06_125.xml,0,0,0.530801747
06_1250.xml,1,0.25,0.408598686
06_1251.xml,0.8,0.666666667,0.379158506
06_1252.xml,0.235294118,0.5,0.38147852
06_1253.xml,0.285714286,0.4,0.499647955
06_1254.xml,0,0,0.663649785
06_1255.xml,0.666666667,1,0.414911721
06_1257.xml,1,0.6,0.410883929
06_1259.xml,1,0.75,0.352440943
06_126.xml,0.583333333,0.6,0.488216378
06_1260.xml,0.857142857,0.666666667,0.380130325
06_1261.xml,0.181818182,0.5,0.474039118
06_1263.xml,0.25,0.4,0.587437534
06_1264.xml,0,0,0.64692732
06_1265.xml,0.5,0.5,0.550657168
06_1267.xml,0.333333333,0.25,0.437862566
06_1268.xml,0.571428571,0.4,0.520539534
06_1269.xml,0,0,0.493702703
06_1270.xml,0,0,0.629223738
06_1271.xml,0,0,0.586573674
06_1274.xml,0.7,1,0.461337349
06_1275.xml,0,0,0.627820603
06_1279.xml,0.5,0.6,0.568245881
06_128.xml,0.666666667,0.4,0.619042359
06_1280.xml,1,0.8,0.453732537
06_1281.xml,0.266666667,0.4,0.472783805
06_1285.xml,0.285714286,0.428571429,0.600339189
06_1287.xml,0,0,0.693147181
06_1288.xml,0.307692308,1,0.568487277
06_1289.xml,0.4,0.75,0.480478717
06_129.xml,0,0,0.571534287
06_1290.xml,0.625,0.833333333,0.392220324
06_1291.xml,0.285714286,0.333333333,0.460862443
06_1292.xml,0.75,0.666666667,0.44056655
06_1293.xml,0.285714286,0.6,0.530180015
06_1294.xml,0.333333333,0.4,0.476279078
06_1295.xml,0.1,0.25,0.50645686
06_1297.xml,0.6,0.5,0.572353534
06_1298.xml,0.1,0.2,0.538381593
06_1299.xml,0.75,1,0.4517616
06_13.xml,0,0,0.693147181
06_1301.xml,0.142857143,0.2,0.663433285
06_1302.xml,1,0.166666667,0.569787981
06_1303.xml,0.407407407,0.5,0.426618813
06_1305.xml,0.285714286,0.142857143,0.555868842
06_1307.xml,0.4,0.6,0.516341145
06_1308.xml,0.444444444,0.5,0.533533805
06_1309.xml,0.166666667,0.2,0.641098726
06_131.xml,0.166666667,0.166666667,0.61365748
06_1314.xml,0.166666667,0.2,0.487605599
06_1317.xml,0.4,0.5,0.541309485
06_1318.xml,0.666666667,0.166666667,0.560341083
06_132.xml,0,0,0.605624943
06_1320.xml,0.5,0.25,0.587194633
06_1321.xml,1,0.75,0.449827675
06_1323.xml,0.166666667,0.5,0.632162104
06_1324.xml,0.363636364,0.8,0.612751481
06_1325.xml,0.642857143,0.6,0.516557149
06_1326.xml,0.444444444,0.4,0.424081734
06_1327.xml,0,0,0.657369809
06_1328.xml,0.375,0.5,0.480880722
06_1329.xml,0.5,1,0.445400895
06_133.xml,0.5,0.5,0.512687324
06_1330.xml,0.75,0.8,0.498518584
06_1334.xml,0.125,0.2,0.509867017
06_1335.xml,0.666666667,1,0.482011348
06_1336.xml,0.75,1,0.581084122
06_1338.xml,0.2,0.2,0.587251853
06_1339.xml,0.5,1,0.552867265
06_134.xml,0.2,0.2,0.60000595
06_1340.xml,0.777777778,0.5,0.483136467
06_1343.xml,0.076923077,0.166666667,0.510924407
06_1346.xml,0.375,0.5,0.52014284
06_1347.xml,0.375,1,0.483435193
06_1348.xml,0.2,0.4,0.437423868
06_135.xml,0.375,1,0.56752015
06_1350.xml,0.230769231,0.333333333,0.522547753
06_1352.xml,0.142857143,0.5,0.594235658
06_1354.xml,0.25,1,0.645414701
06_1355.xml,0.117647059,0.166666667,0.463407607
06_1357.xml,0.333333333,0.428571429,0.693147181
06_1358.xml,0.25,0.666666667,0.523165093
06_136.xml,0.454545455,0.25,0.511246997
06_1360.xml,0.4,0.6,0.605068825
06_1361.xml,0.25,0.6,0.489174553
06_1362.xml,0.25,0.333333333,0.550454562
06_1363.xml,0,0,0.467181309
06_1366.xml,0.625,0.666666667,0.391124748
06_1367.xml,1,0.75,0.399755987
06_1368.xml,0.333333333,0.75,0.425757975
06_1369.xml,0.75,0.5,0.472567539
06_137.xml,0.428571429,0.5,0.472938725
06_1370.xml,0.666666667,0.25,0.589011043
06_1373.xml,0,0,0.549483292
06_1374.xml,0.333333333,0.25,0.591329122
06_1375.xml,0.166666667,0.2,0.599143094
06_1376.xml,0.181818182,0.4,0.581206354
06_1377.xml,0.666666667,0.5,0.439273243
06_1379.xml,0.5,0.714285714,0.557159845
06_1380.xml,0,0,0.425262638
06_1381.xml,0,0,0.502468742
06_1386.xml,0.666666667,0.25,0.526321904
06_1387.xml,0.25,0.142857143,0.51823532
06_1388.xml,0,0,0.607328483
06_139.xml,0.083333333,0.142857143,0.601505274
06_1390.xml,0.333333333,0.4,0.565486853
06_1391.xml,1,0.333333333,0.548317355
06_1392.xml,0.75,0.25,0.578189623
06_1393.xml,0,0,0.646239461
06_1394.xml,0.363636364,1,0.502865255
06_1395.xml,0.8,0.75,0.638907367
06_1396.xml,0,0,0.571474591
06_1397.xml,0,0,0.545111539
